U10,Seed,Group,MssAlong,MssCross,MssTotal,Gamma
10,1,Linear Elfouhaily,0.036252372277669,0.0259411710153077,0.0621935432929767,0.845914701505446
10,1,Raw Modified Lie,0.0363419597901582,0.0259682672888486,0.0623102270790068,0.845312545623675
10,1,MSS-Constrained Modified Lie,0.0312795519693582,0.0232990581883181,0.0545786101576763,0.863055890598312
10,2,Linear Elfouhaily,0.0373581019173061,0.0251502330512586,0.0625083349685647,0.820500038153132
10,2,Raw Modified Lie,0.0374433238026367,0.0251680393123378,0.0626113631149745,0.819855840810654
10,2,MSS-Constrained Modified Lie,0.0313262800672951,0.0232626232197717,0.0545889032870668,0.861737376327531
10,3,Linear Elfouhaily,0.0349836911991355,0.0248431293592068,0.0598268205583423,0.842694840596749
10,3,Raw Modified Lie,0.0350761575338106,0.0248644947425689,0.0599406522763795,0.841945176762556
10,3,MSS-Constrained Modified Lie,0.0312241559418553,0.0232485140244234,0.0544726699662787,0.862883661936224
10,4,Linear Elfouhaily,0.036431948991524,0.0252961274932759,0.0617280764847999,0.833270137762822
10,4,Raw Modified Lie,0.0365321062783746,0.0253174312888075,0.0618495375671821,0.832477422275367
10,4,MSS-Constrained Modified Lie,0.0312877146626184,0.0232695079206539,0.0545572225832723,0.862395890901432
10,5,Linear Elfouhaily,0.0353622610749904,0.0261875219740583,0.0615497830490487,0.860552140692042
10,5,Raw Modified Lie,0.0354452966251357,0.0262082518440254,0.0616535484691611,0.859883705184068
10,5,MSS-Constrained Modified Lie,0.0312405044121942,0.0233097770705499,0.0545502814827441,0.863793718051099
10,6,Linear Elfouhaily,0.0357060908825546,0.0248878343467342,0.0605939252292888,0.834876815148379
10,6,Raw Modified Lie,0.0358027476173898,0.0249094797436128,0.0607122273610026,0.834111578861115
10,6,MSS-Constrained Modified Lie,0.0312561818175934,0.0232506152871519,0.0545067971047453,0.862480456410437
10,7,Linear Elfouhaily,0.035963428742108,0.0249147158806644,0.0608781446227724,0.832333595113186
